,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
134,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,Ki,=,1.433,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,1.433
170,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,74.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,74.0
172,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,31.62,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity for Dopamine receptor D2,B,31.62
175,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]SCH-23390 radioligand from cloned human Dopamine receptor D2 in CHO cells,B,41.0
176,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone radioligand from cloned human Dopamine receptor D2 in CHO cells,B,28.0
177,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,74.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards cloned human Dopamine receptor D2 stably expressed in CHO cells was evaluated using [3H]spiperone as radioligand,B,74.0
178,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,74.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,74.0
179,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,39.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone from the cloned human Dopamine receptor D2L stably expressed in Chinese hamster ovary (CHO) cells was determined.,B,39.0
180,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone from the cloned human Dopamine receptor D2S stably expressed in Chinese hamster ovary (CHO) cells was determined.,B,28.0
181,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,39.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2L stably expressed in CHO cells,B,39.0
182,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2 short form expressed in CHO cells,B,28.0
185,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,69.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for dopamine receptor D2 determined using [3H]spiperone,B,69.0
186,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,74.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone from human dopamine receptor D2 stably expressed in CHO cells.,B,74.0
187,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,91.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone from human cloned Dopamine receptor D2 expressed in CHO K-1 cells in vitro.,B,91.0
188,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against dopamine receptor D2L using radioligand [3H]-spiperone,B,41.0
189,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against dopamine receptor D2S using radioligand [3H]spiperone,B,28.0
191,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,74.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity to displace [3H]spiperone from cloned human Dopamine receptor D2 stably expressed in CHO cell lines,B,74.0
196,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,41.0
197,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,28.0
200,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,IC50,=,113.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,56.5
201,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,91.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against cloned human dopamine receptor D2 expressed in Chinese hamster ovary (CHO) K-1 cells by displacement of [3H]spiperone.,B,91.0
202,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,41.0
203,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Competitive binding affinity against human Dopamine receptor D2S by displacing [3H]spiperone from CHO cells,B,28.0
209,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human cloned dopamine receptor D2 (long) stably expressed in CHO cells by [3H]-Spiperone displacement.,B,41.0
210,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human cloned dopamine receptor D2 (short) stably expressed in CHO cells by [3H]spiperone displacement.,B,28.0
217,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,77.62,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against Dopamine receptor D2,B,77.62
219,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,IC50,=,9.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibitory concentration against dopamine receptor D2,B,4.5
220,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine receptor D2(short) in CHO cell membrane,B,28.0
221,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine receptor D2(long) in CHO cell membrane,B,41.0
228,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,83.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2 receptor expressed in CHO cells,B,83.0
229,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human cloned dopamine D2 long receptor expressed in CHO cells,B,41.0
230,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiroperidol from human cloned dopamine D2 short receptor expressed in CHO cells,B,28.0
240,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,72.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to human dopamine D2L receptor expressed in HEK293 cells after 1 hr,B,72.0
241,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,7.11,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to dopamine D2 receptor (unknown origin),B,7.11
246,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,88.65,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from wild-type human dopamine D2S receptor expressed in CHO-K1 cell membrane after 2 hrs by beta counting,B,88.65
247,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,89.13,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from wild-type human dopamine D2S receptor expressed in CHO-K1 cell membrane after 2 hrs by beta counting,B,89.13
252,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Ki,=,72.0,nM,Dopamine D2 receptor,Homo sapiens,Competitive antagonist activity against human dopamine D2 receptor short isoform by R-SAT assay,B,72.0
280,CHEMBL415300,CN1CCN(CC1)C2=Nc3ccccc3Nc4ccc(Cl)cc24,IC50,=,34.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2,B,17.0
281,CHEMBL415300,CN1CCN(CC1)C2=Nc3ccccc3Nc4ccc(Cl)cc24,Ki,=,47.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity was evaluated as inhibition constant for dopamine D-2 receptor,B,47.0
290,CHEMBL7806,CCCN(CCc1ccsc1)C2CCc3c(O)cccc3C2,Ki,=,24.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity was evaluated by calculating competition for [3H]spiperone binding on Dopamine receptor D2L of CHO K-1 cells.,B,24.0
291,CHEMBL7806,CCCN(CCc1ccsc1)C2CCc3c(O)cccc3C2,Ki,=,0.14,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity was evaluated by calculating competition for [3H]N-0437 binding on Dopamine receptor D2L of CHO K-1 cells,B,0.14
296,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,Ki,=,9.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity of compound measured using [3H]spiperone for the cloned human dopamine receptor D2 long (high/low affinity is given as 9.0/1800),B,9.0
297,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,Ki,=,27.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity of compound measured using [3H]spiperone for the cloned human dopamine receptor D2 short (high/low affinity is given as 27/1800),B,27.0
298,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,Ki,=,39.0,nM,Dopamine D2 receptor,Homo sapiens,"Affinity against recombinant dopamine receptor (DA) D2 expressed in CHO-K1 cells, using [3H]-spiperone as radioligand",B,39.0
299,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,Ki,=,8.5,nM,Dopamine D2 receptor,Homo sapiens,"In vitro binding affinity against cloned mammalian dopamine D2 autoreceptor, expressed in CHO-K1 cells, using [3H]U-86170 as radioligand",B,8.5
302,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,Ki,=,17.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2 receptor at high affinity state expressed in HEK293 cells,B,17.4
305,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,EC50,=,163.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human D2 receptor expressed in CHO cells by [35S]GTPgammaS binding assay,B,81.5
318,CHEMBL7617,CN1CCN(CC1)C2=Cc3ccccc3Cc4ccc(Cl)cc24,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity was evaluated by inhibition of [3H]spiperone binding to COS cells transfected with human dopamine D-2(long) receptor,B,1.0
329,CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,Ki,=,13.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]U-86170 from human D2-dopamine receptor expressed in CHO K1 cells,B,13.0
330,CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,Ki,=,90.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for DA2 receptor,B,90.0
332,CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,Ki,=,13.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to D2 receptor by radioligand binding assay,B,13.0
340,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,26.0,nM,Dopamine D2 receptor,Homo sapiens,"Compound was evaluated for the binding affinity against [3H]U-86,170-labeled D2 sites in cloned CHO cells",B,26.0
342,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,26.0,nM,Dopamine D2 receptor,Homo sapiens,"Compound was evaluated for the binding affinity against [3H]U-86,170-labeled D2 sites in cloned CHO cells",B,26.0
344,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Kd,=,0.66,nM,Dopamine D2 receptor,Homo sapiens,Compound was evaluated for the ability to displace [3H]spiperone at Dopamine receptor D2 in porcine anterior pituitary gland as high affinity state,B,0.66
346,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,41.9,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human dopamine receptor D2A expressed in mouse Ltk cells,B,41.9
347,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,41.6,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity was measured on cloned Human D2A Receptor which is labeled by [3H]raclopride,B,41.6
349,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,41.9,nM,Dopamine D2 receptor,Homo sapiens,In vitro affinity at human cloned Dopamine receptor D2A by [3H]-raclopride displacement.,B,41.9
350,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,41.9,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human Dopamine receptor D2A,B,41.9
351,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,28.0,nM,Dopamine D2 receptor,Homo sapiens,Tested for binding affinity towards human D2L receptor using [3H]spiperone as radioligand,B,28.0
353,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,41.6,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity towards cloned human Dopamine receptor D2A using [3H]- Raclopride as radioligand.,B,41.6
354,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,5.8,nM,Dopamine D2 receptor,Homo sapiens,In vitro effective concentration tested on HEK293 cells co-transfected with human Dopamine receptor D2 using FLIPR assay,B,2.9
356,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,41.9,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]raclopride binding to cloned human Dopamine receptor D2A,B,41.9
357,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Kd,=,24.0,nM,Dopamine D2 receptor,Homo sapiens,Equilibrium dissociation constant against recombinant Dopamine receptor D2A expressed in COS7 cells,B,24.0
359,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,5.8,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human D2 receptor in HEK293 cells coexpressing G-alpha-qo5 by FLIPR,F,2.9
360,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,1.8,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at ferret D2 receptor in HEK293 cells coexpressing Galphaqo5 by FLIPR,F,0.9
363,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,3.6,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]7-OH-PIPAT from human D2L receptor expressed in HEK293 cell membrane,B,3.6
364,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,20.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human recombinant dopamine D2 receptor expressed in rat pituitary cells assessed as inhibition of forskolin-stimulated cAMP accumulation,F,10.0
365,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,4.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2 receptor expressed in CHO cells assessed as inhibition of forskolin-stimulated cAMP production,F,2.0
367,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,32.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human cloned dopamine D2 receptor expressed in CHO cell membrane,B,32.0
369,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,98.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2 receptor expressed in HEK293 cells,B,98.0
371,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,0.62,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2 receptor at high affinity state expressed in HEK293 cells,B,0.62
374,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,50.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human D2L receptor expressed in HEK293 cells,B,50.0
375,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,4.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2L receptor expressed in HEK293 cells assessed as forskolin-stimulated cAMP accumulation after 15 mins,F,2.0
376,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,Ki,=,53.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human dopamine D2L receptor expressed in HEK293 cells by scintillation counting analysis,B,53.0
378,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,IC50,=,117.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human recombinant dopamine D2L receptor expressed in CHOFlpIn cells after 3 hrs by liquid scintillation counting,B,58.5
379,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,EC50,=,1.7,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human recombinant dopamine D2L receptor expressed in CHOFlpIn cells assessed as ERK1/2 phosphorylation by alphascreen assay,B,0.85
384,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,3.6,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,3.6
385,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.4,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2,B,1.4
386,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,0.7943,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity for Dopamine receptor D2,B,0.7943
389,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,18.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of the radioligand [3H]spiperone from the cloned human Dopamine receptor D2 long expressed in CHO cells,B,18.0
390,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.4,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards cloned human Dopamine receptor D2 stably expressed in CHO cells was evaluated using [3H]spiperone as radioligand,B,1.4
391,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,1.4
392,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,0.16,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]quinpirole from human dopamine D2A receptors expressed in LtK cells,B,0.16
393,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,0.44,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human dopamine D2A receptors expressed in LtK cells,B,0.44
402,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards mouse LtK- cells transfected with human D2 receptor using [3H]spiperone,B,1.0
403,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,IC50,=,4.9,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2,B,2.45
404,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.4,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for dopamine receptor D2 determined using [3H]spiperone,B,1.4
405,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.4,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone from human dopamine receptor D2 stably expressed in CHO cells.,B,1.4
406,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.6,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone from human cloned Dopamine receptor D2 expressed in CHO K-1 cells in vitro.,B,1.6
408,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,5.6,nM,Dopamine D2 receptor,Homo sapiens,"In vitro binding affinity towards Dopamine receptor D2L, using [3H]spiroperidol radioligand in Sf9 baculovirus expression.",B,5.6
409,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,4.8,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity on human Dopamine receptor D2 expressed in CHO cells using radioligand [3H]-YM 09151,B,4.8
410,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,1.0
411,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,0.5,nM,Dopamine D2 receptor,Homo sapiens,Tested for binding affinity towards human D2L receptor using [3H]spiperone as radioligand,B,0.5
413,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,0.89,nM,Dopamine D2 receptor,Homo sapiens,In vitro ability to inhibit the binding of [3H]spiperone to cloned human Dopamine receptor D2 using apomorphine induced climbing test in male Swiss mice,B,0.89
414,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,0.8913,nM,Dopamine D2 receptor,Homo sapiens,Cataleptogenic effect against cloned human Dopamine receptor D2 in male Sprague-Dawley rats in a bar test,B,0.8913
