,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
166,CHEMBL267014,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2,Ki,=,1621.81,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]N-methylspiperone from human dopamine D2 receptor expressed in HEK293 cell membranes after 1 hr by scintillation counting method,A,1621.81
206,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,Log Ki,=,6.87,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2,B,7413102.413009178
263,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]SCH-23390 radioligand from cloned human Dopamine receptor D2 in CHO cells,B,3200.0
264,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,4300.0,nM,Dopamine D2 receptor,Homo sapiens,Ability to displace [3H]spiperone radioligand from cloned human Dopamine receptor D2 in CHO cells,B,4300.0
265,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against dopamine receptor D2L using radioligand [3H]-spiperone,B,3200.0
266,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,4300.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against dopamine receptor D2S using radioligand [3H]spiperone,B,4300.0
267,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human cloned dopamine receptor D2 (long) stably expressed in CHO cells by [3H]-Spiperone displacement.,B,3200.0
268,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,4300.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human cloned dopamine receptor D2 (short) stably expressed in CHO cells by [3H]spiperone displacement.,B,4300.0
269,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 long,B,3200.0
270,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,4300.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine receptor D2(short) in CHO cell membrane,B,4300.0
271,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine receptor D2(long) in CHO cell membrane,B,3200.0
272,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,2818.38,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to dopamine D2,B,2818.38
273,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,2900.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from cloned human dopamine D2L receptor expressed in CHO cells,B,2900.0
274,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,2200.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from cloned human dopamine D2S receptor expressed in CHO cells,B,2200.0
275,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]N-methylspiperone from human dopamine D2 receptor by PDSP assay,B,3200.0
276,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,4300.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of human dopamine D2 (short) receptor,B,4300.0
277,CHEMBL7927,Clc1ccc(cc1)N2CCN(Cc3cnn4ccccc34)CC2,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of human dopamine D2 (long) receptor (unknown origin),B,3200.0
288,CHEMBL266723,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(C)c4ccccc24,Ki,=,1100.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity was evaluated as inhibition constant for dopamine D-2 receptor,B,1100.0
301,CHEMBL7549,CCCN1CCC[C@H](C1)c2cccc(O)c2,Ki,=,2268.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2 receptor at low affinity state expressed in HEK293 cells,B,2268.0
319,CHEMBL269396,CC1CCN(CC1)C2=Cc3cc(Cl)ccc3Cc4ccccc24,Ki,=,1400.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity was evaluated as inhibition constant for dopamine D-2 receptor,B,1400.0
425,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Log Ki,=,9.05,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2,B,1122018454.3019652
448,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,Ki,=,6400.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiroperidol from human cloned dopaminergic D2 receptor expressed in rat C6 cells,B,6400.0
504,CHEMBL56,CCCN(CCC)C1CCc2cccc(O)c2C1,Ki,=,3243.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibitory activity against [125I]- NCQ298 binding to dopamine receptor D2 in Sf 9 cells,B,3243.0
531,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,7940.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity towards Dopamine receptor D2,B,7940.0
538,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,1900.0,nM,Dopamine D2 receptor,Homo sapiens,Binding Affinity was tested on low Affinity Site of Dopamine receptor D2L,B,1900.0
539,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,1100.0,nM,Dopamine D2 receptor,Homo sapiens,Binding Affinity of Compound of Dopamine receptor D2S,B,1100.0
542,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,15000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding Affinity was determined in the presence of 100 micro M Gpp(NH)p for decoupling of the ternary complex of Compound to Dopamine receptor D2L,B,15000.0
543,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,15000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding Affinity was determined in the presence of 100 micro M Gpp(NH)p for decoupling of the ternary complex of Compound to Dopamine receptor D2S,B,15000.0
555,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,2100.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2 receptor at low affinity state expressed in HEK293 cells,B,2100.0
562,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,2100.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human D2L receptor expressed in HEK293 cells,B,2100.0
574,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,2100.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human dopamine D2L receptor expressed in HEK293 cells by scintillation counting analysis,B,2100.0
593,CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,=,3690.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]N-methylspiperone from human D2 receptor transfected in HEK293 cells measured after 60 mins by liquid scintillation counter,B,3690.0
672,CHEMBL8946,CCN1CCC[C@H]1CNC(=O)c2c(O)c(CC)cc(Cl)c2OC,IC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Antagonist activity at DRD2 (unknown origin) expressed in HEK293T cells transfected with Galphai1-RLuc8 and gamma2-GFP10 assessed as inhibition of quinpirole-induced Gi1 activation pre-incubated with quinpirole for 10 mins before compound incubation for 10 mins by BRET assay,B,5000.0
711,CHEMBL9666,COc1ccccc1N2CCNCC2,Ki,=,4110.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2L receptor expressed in FlpIn CHO cell membrane after 3 hrs by liquid scintillation counting analysis,B,4110.0
712,CHEMBL9666,COc1ccccc1N2CCNCC2,Ki,=,4073.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2L receptor expressed in FlpIn CHO cell membrane after 3 hrs by liquid scintillation counting analysis,B,4073.8
756,CHEMBL83,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,IC50,=,13885.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,6942.5
757,CHEMBL83,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,Ki,=,4628.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,4628.0
828,CHEMBL11262,CCCN(CCC)CC1COc2cccc(OC)c2C1,IC50,=,2570.4,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine receptor D2 by displacement of [3H]-Raclopride.,B,1285.2
863,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,IC50,=,12504.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,6252.0
864,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,Ki,=,4168.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,4168.0
872,CHEMBL11608,NCCc1ccc(O)cc1,Ki,>,17000.0,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,17000.0
873,CHEMBL11608,NCCc1ccc(O)cc1,Ki,=,160000.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity towards Dopamine receptor D2,B,160000.0
902,CHEMBL11493,CCCCN1C2CCC1CC(C2)OC(c3ccc(F)cc3)c4ccc(F)cc4,IC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Antagonist activity at DRD2 (unknown origin) expressed in HEK293T cells transfected with Galphai1-RLuc8 and gamma2-GFP10 assessed as inhibition of quinpirole-induced Gi1 activation pre-incubated with quinpirole for 10 mins before compound incubation for 10 mins by BRET assay,B,5000.0
922,CHEMBL12264,C[C@H](CCN1CCC(C)CC1)N(C)S(=O)(=O)c2cccc(C)c2,Ki,=,3981.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]raclopride from human dopamine receptor D2A expressed in mouse Ltk cells,B,3981.0
923,CHEMBL12264,C[C@H](CCN1CCC(C)CC1)N(C)S(=O)(=O)c2cccc(C)c2,Ki,=,3981.07,nM,Dopamine D2 receptor,Homo sapiens,The compound was tested for its binding affinity towards cloned human Dopamine receptor D2 in CHO cells using [125I]iodosulpiride.,B,3981.07
928,CHEMBL12624,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c3cccc(C)c3)CC1,Ki,=,1584.89,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine receptor D2. (human cloned receptor) in CHO cells using [125I]iodosulpiride radioligand.,B,1584.89
929,CHEMBL275707,C[C@@H]1CN(CCCn2c3ccccc3c4ccccc24)C[C@H](C)N1,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for dopamine D2 receptor using [3H]spiperone in guinea pig striatum,B,10000.0
987,CHEMBL104,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,IC50,=,12186.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,6093.0
988,CHEMBL104,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,Ki,=,4062.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,4062.0
1017,CHEMBL15245,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,IC50,=,2060.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,1030.0
1037,CHEMBL15928,COc1ccc(NC(=O)c2ccc(cc2)c3ccc(cc3C)c4noc(C)n4)cc1N5CCN(C)CC5,Ki,<,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against dopamine D2 receptor,B,10000.0
1038,CHEMBL15928,COc1ccc(NC(=O)c2ccc(cc2)c3ccc(cc3C)c4noc(C)n4)cc1N5CCN(C)CC5,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Affinity towards cloned Dopamine receptor D2,B,10000.0
1115,CHEMBL17157,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,IC50,=,6167.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,3083.5
1116,CHEMBL17157,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,Ki,=,2056.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,2056.0
1123,CHEMBL18174,C1Cc2ccccc2c3n[nH]cc3C1,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards cloned human Dopamine receptor D2 was determined,B,10000.0
1132,CHEMBL603,COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5C,IC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibitory concentration against Dopamine receptor D2,B,5000.0
1144,CHEMBL276042,CN1CCc2cc(N)cc3c2[C@H]1Cc4ccc(O)c(O)c34,Kd,=,3300.0,nM,Dopamine D2 receptor,Homo sapiens,Compound was evaluated for the ability to displace [3H]spiperone at Dopamine receptor D2 in porcine anterior pituitary gland as low affinity state,B,3300.0
1155,CHEMBL19331,Oc1ccc2NCCc2c1,Ki,=,9400.0,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,9400.0
1159,CHEMBL19344,Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1,Ki,=,3900.0,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,3900.0
1162,CHEMBL19844,CN1CCc2cc(O)c(O)cc2C1Cc3ccc(O)c(O)c3,Ki,=,1900.0,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,1900.0
1163,CHEMBL19068,Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1O,Ki,=,3400.0,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,3400.0
1167,CHEMBL416732,CC1NCCc2cc(O)c(O)cc12,Ki,=,5400.0,nM,Dopamine D2 receptor,Homo sapiens,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,B,5400.0
1170,CHEMBL21252,CC(=O)NCCCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,1584.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1584.89
1172,CHEMBL423287,CC(C)(C)C(=O)NCCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,<,10000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,10000.0
1173,CHEMBL20114,CC(C)C(=O)NCCCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,1995.26,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1995.26
1175,CHEMBL283353,CCC(C)(C)C(=O)NCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,2511.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,2511.89
1176,CHEMBL283353,CCC(C)(C)C(=O)NCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,2519.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity was measured at the cloned human Dopamine receptor D2 using [3H]spiroperidol as radioligand.,B,2519.0
1181,CHEMBL277937,CC(C)(C)C(=O)NCCCCN1CCN(CC1)c2ccc(F)cc2,Ki,=,1995.26,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1995.26
1182,CHEMBL21059,CC(C)(C)C(=O)NCCCCN1CCN(CC1)c2ccc(cc2)C(F)(F)F,Ki,=,3981.07,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,3981.07
1184,CHEMBL20725,CCCC(C)(C)C(=O)NCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,2511.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,2511.89
1187,CHEMBL277669,CC(C)(C)C(=O)NCCCCN1CCN(CC1)c2ccc(Br)cc2,Ki,=,1584.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1584.89
1189,CHEMBL20996,CCCCC(C)(C)C(=O)NCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,1584.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1584.89
1191,CHEMBL20854,CC1CN(CCCCNC(=O)C(C)(C)C)CCN1c2ccc(Cl)cc2,Ki,=,1584.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1584.89
1193,CHEMBL20493,CC(C)(C)C(=O)NCCCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,2511.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,2511.89
1194,CHEMBL20819,COc1ccc(cc1)N2CCN(CCCCNC(=O)C(C)(C)C)CC2,Ki,<,10000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,10000.0
1195,CHEMBL20444,CCCC(C)(C)C(=O)NCCCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,1584.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,1584.89
1197,CHEMBL282008,CC(C)(C)C(=O)NCCN1CCN(CC1)c2ccc(Cl)cc2,Ki,=,2511.89,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity at cloned human Dopamine receptor D2 expressed in CHO cells, using [125I]iodosulpiride as radioligand",B,2511.89
1214,CHEMBL20407,CCS(=O)(=O)c1ccc(OC)c(c1)c2ccc(CN3CCOCC3)[nH]2,Ki,=,3162.28,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 expressed in CHO cells by [125I]iodosulpiride displacement.,B,3162.28
1247,CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,IC50,=,19952.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,9976.0
1248,CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,Ki,=,6651.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,6651.0
1272,CHEMBL21343,CCN(CC)C(=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,IC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of dopamine D2 receptor,B,5000.0
1279,CHEMBL654,CN1CCN2C(C1)c3ccccc3Cc4cccnc24,Ki,>,5454.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of [3H]-spiperone binding to human Dopamine receptor D2,B,5454.0
1294,CHEMBL21731,CNCCCC12CCC(c3ccccc13)c4ccccc24,IC50,=,3463.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,1731.5
1295,CHEMBL21731,CNCCCC12CCC(c3ccccc13)c4ccccc24,Ki,=,1154.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,1154.0
1307,CHEMBL22778,CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1,Ki,=,3760.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity was measured on cloned Human D2A Receptor which is labeled by [3H]raclopride,B,3760.0
1331,CHEMBL25887,Cc1nnn(C2CCN(Cc3ccccc3)CC2)c1c4ccccc4,Ki,=,1200.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,1200.0
1335,CHEMBL24539,C(N1CCC(CC1)n2nnc(n2)c3ccccc3)c4ccccc4,Ki,=,1100.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,1100.0
1339,CHEMBL24052,Cc1c(cnn1C2CCN(Cc3cccc(c3)C#N)CC2)c4ccccc4,Ki,>,1700.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,1700.0
1341,CHEMBL24603,C(N1CCC(CC1)n2nnnc2c3ccccc3)c4ccccc4,Ki,>,1800.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,1800.0
1342,CHEMBL284346,Cc1c(nnn1C2CCN(Cc3ccccc3)CC2)c4ccccc4,Ki,=,1600.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2 expressed in CHO cells,B,1600.0
1411,CHEMBL24077,Oc1cc2CCNC[C@H](c3ccccc3)c2cc1O,Ki,=,6500.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against dopamine receptor D2 by using [3H]spiperone as radioligand in caudate-putamen of monkey,B,6500.0
1412,CHEMBL24077,Oc1cc2CCNC[C@H](c3ccccc3)c2cc1O,Ki,=,4670.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against cloned human Dopamine receptor D2 using [3H]spiperone as radioligand transfected in HEK cells,B,4670.0
1413,CHEMBL24077,Oc1cc2CCNC[C@H](c3ccccc3)c2cc1O,EC50,>,5000.0,nM,Dopamine D2 receptor,Homo sapiens,Adenylate cyclase assay carried out in LTK cells transfected with human Dopamine receptor D2,B,2500.0
